time/fps,rollout/ep_rew_mean_U_0,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean_B_1,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_rew_mean_B_0,time/total_timesteps,rollout/ep_rew_mean_U_1,train/approx_kl,rollout/bias_estimate,train/value_loss_B_0,train/value_loss_U_1,train/explained_variance_B_0,train/loss,train/policy_gradient_loss_U_0,rollout/benefit_1,train/entropy_loss,train/learning_rate,train/value_loss_U_0,train/value_loss,rollout/benefit_0,train/clip_range,train/explained_variance_U_0,train/policy_gradient_loss_B_0,train/policy_gradient_loss_U_1,train/policy_gradient_loss_B_1,train/explained_variance_B_1,train/explained_variance_U_1,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/value_loss_B_1
342,299.5,2000.0,1,452.0,59.0,11,601.5,4000,230.5,,,,,,,,,,,,,,,,,,,,,,,,,
275,301.0,2000.0,2,439.0,34.0,29,589.75,8000,224.5,3.1500775e-05,-0.17798895,23.873946247403584,3.3880505722666543,-0.02113330364227295,19.528093338012695,-0.0006014031609372487,0.5675526,-0.6931346505407303,1e-05,6.324868868267726,4.593628144264221,0.38956368,0.2,-0.01874864101409912,-6.619860817279134e-06,-0.000508572119805548,-7.071114544357573e-05,-0.008296847343444824,-0.00034415721893310547,0.0,-0.00024009023659995625,10,0.0037797093391418457,14.113253157479422
258,301.0,2000.0,3,440.3333333333333,24.166666666666668,46,590.3333333333334,12000,222.66666666666666,2.029522e-05,0.1688044,20.32817464556013,2.6614623234385535,-0.02849102020263672,16.655275344848633,-0.0005516775795036838,0.39574254,-0.6930792944771903,1e-05,5.683840980605473,4.896820172809419,0.56454694,0.2,-0.024869441986083984,-7.939436103379916e-05,-0.0003252630835280768,-1.114501381322505e-05,-0.013730883598327637,-0.0006383657455444336,0.0,-0.00028319287128628247,20,0.004496335983276367,11.637659267395263
249,301.75,2000.0,4,443.625,30.5,64,589.375,16000,224.5,2.3347651e-05,-0.36605027,18.304486902933274,2.105380941478033,-0.04135441780090332,13.581551551818848,0.00022890776366231934,0.78235275,-0.6930544318660857,1e-05,4.717759181582738,3.712608832783169,0.41630247,0.2,-0.040778160095214844,8.883316897683673e-07,0.00029093360543132774,-7.001896728835409e-05,-0.03486180305480957,0.010406911373138428,0.0,-0.0002327691697116409,30,0.007552504539489746,11.207658676117186
246,298.6,2000.0,5,454.2,38.7,81,581.8,20000,229.6,2.5617965e-05,-0.07724565,15.259779986881075,2.054058538164411,-0.03888702392578125,11.600091934204102,-0.0005875331504891316,0.7775695,-0.6930139817888774,1e-05,3.889911987478771,4.464205309322902,0.7003238,0.2,-0.05096232891082764,-9.779640961261022e-06,-0.00044814802203623074,-0.0001315395658214887,-0.04381287097930908,0.0014633536338806152,0.0,-0.00025972904681804634,40,0.007562398910522461,9.966078660601662
242,292.6666666666667,2000.0,6,456.5,31.5,98,574.0,24000,234.58333333333334,2.6786212e-05,-0.3525563,10.574029550098238,1.8337347110112507,-0.04931199550628662,8.505379676818848,-0.0004921822586939448,0.95437765,-0.6928732050789728,1e-05,2.8552829285462695,4.883562427096897,0.60182136,0.2,-0.05720984935760498,-2.9667681230912134e-05,-0.0003891688631108356,-4.97906513157345e-05,-0.06026899814605713,-0.005431771278381348,0.0,-0.0002254469497572808,50,0.012057483196258545,9.948126658182295
241,290.7857142857143,2000.0,7,454.42857142857144,28.642857142857142,116,571.7857142857143,28000,234.78571428571428,3.4732995e-05,-0.1812942,7.170448862749433,1.5086097034197006,-0.05399143695831299,6.566876411437988,-0.00015008758960498704,0.7560948,-0.6927432848347558,1e-05,1.842655634217792,4.177581798084199,0.5748006,0.2,-0.06479787826538086,-7.725907933144342e-05,9.249500368559171e-05,-9.781519867598065e-06,-0.06899738311767578,-0.015938878059387207,0.0,-0.00044052843521866534,60,0.00995868444442749,6.510285784895458
239,291.0,2000.0,8,454.3125,31.8125,133,572.875,32000,236.0,7.5223325e-05,-0.06637323,5.339431950875691,1.3113766466814374,-0.047638893127441406,6.342331409454346,-0.0006390118527980078,0.662175,-0.6925234889227246,1e-05,1.6276709175299084,4.785208194596427,0.5958018,0.2,-0.027985334396362305,-8.905168164462324e-05,-0.00038001079496646686,-7.821285121497653e-05,-0.09819614887237549,-0.0014055967330932617,0.0,-0.0005726202716311765,70,0.00976639986038208,3.9353597598416465
238,290.27777777777777,2000.0,9,454.72222222222223,29.833333333333332,150,568.6111111111111,36000,236.27777777777777,0.00011101207,-0.16707224,4.480990631807418,1.2660465843147701,-0.0029507875442504883,5.76961088180542,-0.0005619188134987203,0.710509,-0.6919282010623387,1e-05,1.8421203265114436,5.132087198893229,0.54343677,0.2,0.007451295852661133,7.934089424827742e-05,-0.00016689256188415346,-0.0001795473789411878,-0.028322219848632812,0.020610690116882324,0.0,-0.0005080153042125323,80,0.008189082145690918,3.4673976322015125
237,291.9,2000.0,10,457.95,34.15,168,567.0,40000,238.2,8.534908e-05,-0.10672414,3.523534795783815,1.3113016705191325,0.020275652408599854,5.219588279724121,-0.00039264971153840184,0.60755605,-0.691157198046881,1e-05,1.4122565359350234,4.325283721136668,0.5008319,0.2,0.015694916248321533,3.589677905279493e-05,-0.00020672609024341144,3.441939581303842e-05,0.01530921459197998,0.0181581974029541,0.0,-0.00043514615870893946,90,0.015543580055236816,2.8342317829056394
237,293.5,2000.0,11,456.27272727272725,34.68181818181818,185,567.1818181818181,44000,236.63636363636363,0.00018739598,-0.07097602,3.2415369694195095,1.4243932083485618,0.019518673419952393,3.2496116161346436,-0.0009002270945717418,0.59558153,-0.6899402007224068,1e-05,1.5599246845358894,4.9063878562715315,0.5246055,0.2,0.015394866466522217,7.625797260848302e-05,-0.0006293418832005016,1.4309392916777778e-05,0.02677905559539795,0.017550110816955566,0.0,-0.0007498087272757575,100,0.015264511108398438,3.289923770276327
236,294.9583333333333,2000.0,12,456.2083333333333,36.875,202,565.375,48000,237.16666666666666,0.00049484207,-0.07681593,3.638135352588835,1.2964895256928035,0.03239840269088745,15.726935386657715,-0.0018821524862673075,0.57040524,-0.6874085599467867,1e-05,1.8935993980793726,4.401276537350246,0.4935893,0.2,0.017061591148376465,-9.160214399416296e-05,-0.0006957041565328837,6.050777414606677e-05,0.04187166690826416,0.03145170211791992,0.0,-0.0015259437418232362,110,0.017109274864196777,3.0434903358656262
235,296.65384615384613,2000.0,13,455.46153846153845,38.30769230769231,220,565.3461538461538,52000,237.84615384615384,0.0002695957,-0.013828456,3.518115208640931,1.4349313752991812,0.026013612747192383,11.501920700073242,-0.0011542384024886857,0.5798092,-0.6837330098190005,1e-05,1.620321041440207,4.907164938487703,0.56598073,0.2,0.02204132080078125,0.00017512681624216457,-0.00046012655107511414,-9.413986644219784e-05,0.029375076293945312,0.012495636940002441,0.0,-0.0008912345697541558,120,0.012039721012115479,3.0405077005189565
235,300.7857142857143,2000.0,14,453.82142857142856,41.285714285714285,237,567.6428571428571,56000,237.39285714285714,0.0004712928,0.005823493,4.358505983768947,1.3060668095709786,0.029919981956481934,5.5051164627075195,-0.0011451927508922322,0.5249864,-0.679541125751677,1e-05,1.8950402175623273,4.9258446288487265,0.5308099,0.2,0.02554178237915039,1.1357378273729294e-05,-0.00032136619150165526,7.011472203192257e-05,0.02140796184539795,0.01871359348297119,0.0,-0.0014433875502575012,130,0.01697593927383423,2.827946569995275
235,303.8,2000.0,15,455.46666666666664,46.8,255,567.9666666666667,60000,238.7,0.0007390354,0.01568982,3.992112674599602,1.3625929401507453,0.01843547821044922,10.606618881225586,-0.0022547397518619186,0.4952573,-0.6725267325128828,1e-05,1.9725139929188622,4.290498101900495,0.5109471,0.2,0.01268923282623291,0.00015972595262740339,-0.00042452048436398545,0.0003687327831155724,0.0332568883895874,0.02589362859725952,0.0,-0.0017874001126204219,140,0.012317180633544922,3.189735181937142
234,307.25,2000.0,16,455.46875,50.8125,272,566.125,64000,240.28125,0.00084092695,-0.027071893,4.185986502586849,1.4469028605355156,0.022380709648132324,6.622249126434326,-0.0025452353562864048,0.59550124,-0.6645092490173522,1e-05,2.0155558817916446,4.533321507393368,0.56842935,0.2,0.017628371715545654,1.8563763135009343e-05,-0.0018979728022324187,-0.00041261864308681753,0.031767070293426514,0.021108806133270264,0.0,-0.0014396284758630726,150,0.007914721965789795,2.8575136315254936
234,310.55882352941177,2000.0,17,456.47058823529414,55.88235294117647,290,565.6764705882352,68000,242.11764705882354,0.00077679945,0.03328985,4.345697124799092,1.4073970302229837,0.02894151210784912,9.895404815673828,-0.0016740246195464381,0.56575805,-0.6546789087946453,1e-05,2.342407606234626,6.070992631760855,0.5990479,0.2,0.019941985607147217,-0.0006975048118167454,0.0003919460847678166,-9.728771678748584e-05,0.035772085189819336,0.030267715454101562,0.0,-0.0016920844418188883,160,0.011451184749603271,2.9873830556869505
233,317.27777777777777,2000.0,18,456.5833333333333,65.33333333333333,307,567.9166666666666,72000,243.88888888888889,0.0010918645,0.0460366,4.660206272488549,1.6505171946116857,0.038177430629730225,5.561246395111084,-0.0024050922968262244,0.5432812,-0.6437765006035093,1e-05,2.5276661607954236,5.3611924110897,0.5893178,0.2,0.03271365165710449,-0.0007651059444816339,-0.0014004228762277062,-0.00030026541919344,0.02599036693572998,0.0280916690826416,0.0,-0.0023255909386549205,170,0.01210707426071167,3.6568567799197305
233,322.07894736842104,2000.0,19,456.10526315789474,70.60526315789474,325,567.3684210526316,76000,245.0,0.0023328993,0.053518057,4.903140980667538,1.627162535512258,0.028275489807128906,5.470956325531006,-0.004040566532473479,0.5539595,-0.6248261142344702,1e-05,2.749087739842279,5.264911265600295,0.60747755,0.2,0.019980788230895996,-0.0006167909950904903,-0.0022789836018567993,0.0003030809485131786,0.024161815643310547,0.01014554500579834,0.0,-0.0028535038979339692,180,0.0031505227088928223,3.039353353352774
233,326.525,2000.0,20,455.8,75.325,342,566.575,80000,246.775,0.0018333454,0.10346377,4.548283757103814,1.6956484811646597,0.033220767974853516,6.412497520446777,-0.0028084490825200366,0.54660165,-0.6018228100405799,1e-05,2.6201889405174863,5.376282150404794,0.6500654,0.2,0.02366691827774048,1.789015969113698e-06,-0.002822606519810737,-0.0006267076276893181,0.018042922019958496,0.013483941555023193,0.0,-0.0020866000049170994,190,0.0046700239181518555,3.622845517926746
233,330.5238095238095,2000.0,21,454.3333333333333,79.5,360,564.8809523809524,84000,247.64285714285714,0.0013799053,0.13504636,4.60591413634164,1.6943477700627039,0.026595592498779297,25.738466262817383,-0.002666352143777268,0.5531351,-0.579662323187268,1e-05,2.9210762579289695,5.143272685247754,0.68818146,0.2,0.027878522872924805,-0.0007108654302086622,-0.001058428424839226,0.0005706438476899787,0.023629367351531982,0.015551388263702393,0.0,-0.002119680539897037,200,0.0040302276611328125,3.364293140078348
232,333.52272727272725,2000.0,22,454.6363636363636,85.25,377,563.75,88000,249.6590909090909,0.0033357518,0.07878113,4.536422905657027,1.7997987372534616,0.030246198177337646,3.8710103034973145,0.00215346347392788,0.57881236,-0.5633401743949406,1e-05,2.6419848291646866,4.787708183318849,0.6575935,0.2,0.03332257270812988,0.00022565902077725957,0.0029807035042534744,-0.000200873702054932,0.03222334384918213,0.027978062629699707,0.005357142857142857,-0.00317255289530352,210,0.00752568244934082,3.759976472173418
232,337.9782608695652,2000.0,23,455.45652173913044,93.95652173913044,395,563.0652173913044,92000,251.97826086956522,0.0012927122,0.083387315,4.665567860527644,1.8124733404507714,0.03174877166748047,4.832463264465332,-0.0009035567686493908,0.62070704,-0.5560511398883093,1e-05,2.6952687663691384,4.985651708406115,0.70409435,0.2,0.02904200553894043,-0.0002333222371008661,-0.0010900024139869307,-1.461134839152533e-05,0.02498459815979004,0.023497045040130615,0.0,-0.002576126559593138,220,0.009559810161590576,3.5054460623907664
232,341.7708333333333,2000.0,24,456.6041666666667,102.47916666666667,413,562.6875,96000,254.20833333333334,0.0011891809,0.1466673,4.229043554313599,1.7536432225552816,0.02396249771118164,5.785775184631348,-0.0011976921716557135,0.58712614,-0.5314650741834489,1e-05,2.584489404682129,4.6799074396254525,0.73379344,0.2,0.02322518825531006,-0.0003934835453355123,0.00015705096727562328,0.00030874441126509317,0.02875596284866333,0.028650343418121338,0.0010912698412698413,-0.002590686651981539,230,0.014219343662261963,3.3661116442037007
