rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/approx_kl,train/loss,train/value_loss_B,train/entropy_loss,train/std,train/clip_fraction,train/value_loss_U,train/learning_rate,rollout/soft_bias_estimate,rollout/hard_bias_estimate,train/n_updates,rollout/benefit_min,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_range,rollout/benefit_max
1024.0,1,4096,46,87,4789.875,,,,,,,,,,,,,,,,,
1024.0,2,8192,140,58,5219.84375,0.0069492604,98724.8828125,41052.995453233714,-7.094576916098594,0.9999688267707825,0.0553466796875,2802.590974631309,1e-05,0.7163746953010559,0.3107629120349884,10,0.22362467646598816,nan,-0.14113080501556396,6829.29459991455,0.2,0.5343875885009766
1024.0,3,12288,182,67,5709.520833333333,0.0053881826,81874.875,36499.40057163239,-7.094316621124745,0.9998812079429626,0.039013671875,2670.53962987423,1e-05,0.6486698985099792,0.09492897987365723,20,0.40765315294265747,nan,0.1277458667755127,6852.633625793457,0.2,0.5025821328163147
1024.0,4,16384,223,73,6174.125,0.0064883484,78941.4140625,32340.07934597492,-7.093852760642767,0.9997822642326355,0.0562744140625,2805.7095200443264,1e-05,0.6532905697822571,0.12528041005134583,30,0.4562319219112396,nan,0.4019286632537842,6955.795307540893,0.2,0.5815123319625854
1024.0,5,20480,264,77,6545.275,0.0062024323,69283.859375,28103.401072793007,-7.09349408596754,0.9997316598892212,0.05146484375,3117.7358054256433,1e-05,0.6491429805755615,0.08304405212402344,40,0.5225120782852173,nan,0.6330262124538422,6299.963632774353,0.2,0.6055561304092407
